"<Run Result>";"design variable 1 (Model.STK.Mono_BLOS_03.POLHEO1.Propagator.ApogeeAltitude)";"design variable 2 (Model.STK.Mono_BLOS_03.POLHEO1.Propagator.PerigeeAltitude)";"response (Model.STK.Mono_BLOS_03.POL_Cov_Def.CovTime_Perc_FoM.Overall_Value.Minimum)"
"<RUN SUCCEEDED>";"21000";"900";"52,8889188672176"
"<RUN SUCCEEDED>";"21000";"1000";"52,7247723549429"
"<RUN SUCCEEDED>";"22000";"400";"55,6778972254364"
"<RUN SUCCEEDED>";"22000";"500";"55,498586751287"
"<RUN SUCCEEDED>";"22000";"600";"55,2776720853667"
"<RUN SUCCEEDED>";"22000";"700";"55,2312071163432"
"<RUN SUCCEEDED>";"22000";"800";"54,8273746381331"
"<RUN SUCCEEDED>";"22000";"900";"54,7828034926503"
"<RUN SUCCEEDED>";"22000";"1000";"54,4393281981895"
"<RUN SUCCEEDED>";"23000";"400";"57,1917096874724"
"<RUN SUCCEEDED>";"23000";"500";"57,1366946326345"
"<RUN SUCCEEDED>";"23000";"600";"56,8903343193565"
"<RUN SUCCEEDED>";"23000";"700";"56,6767029249654"
"<RUN SUCCEEDED>";"23000";"800";"56,2623705198888"
"<RUN SUCCEEDED>";"23000";"900";"56,2585694890706"
"<RUN SUCCEEDED>";"23000";"1000";"56,2537574195076"
"<RUN SUCCEEDED>";"24000";"400";"58,6259898652771"
"<RUN SUCCEEDED>";"24000";"500";"58,5557184319685"
"<RUN SUCCEEDED>";"24000";"600";"58,1642566563013"
"<RUN SUCCEEDED>";"24000";"700";"58,2043596248359"
"<RUN SUCCEEDED>";"24000";"800";"57,8147999585606"
"<RUN SUCCEEDED>";"24000";"900";"57,6628025848269"
"<RUN SUCCEEDED>";"24000";"1000";"57,5944069192449"
"<RUN SUCCEEDED>";"25000";"400";"59,9116699710948"
"<RUN SUCCEEDED>";"25000";"500";"59,8363255422762"
"<RUN SUCCEEDED>";"25000";"600";"59,4057895557665"
"<RUN SUCCEEDED>";"25000";"700";"59,4431791660501"
"<RUN SUCCEEDED>";"25000";"800";"59,1425147566895"
"<RUN SUCCEEDED>";"25000";"900";"58,8531837478757"
"<RUN SUCCEEDED>";"25000";"1000";"58,9168793180518"
"<RUN SUCCEEDED>";"26000";"400";"60,9564133591312"
"<RUN SUCCEEDED>";"26000";"500";"61,0202904509172"
"<RUN SUCCEEDED>";"26000";"600";"60,7603580409644"
"<RUN SUCCEEDED>";"26000";"700";"60,3589287222604"
"<RUN SUCCEEDED>";"26000";"800";"60,5186918340943"
"<RUN SUCCEEDED>";"26000";"900";"60,0982654306749"
"<RUN SUCCEEDED>";"26000";"1000";"59,7784214607843"
