"<Run Result>";"design variable 1 (Model.STK.Mono_BLOS_03.POLHEO1.Propagator.ApogeeAltitude)";"design variable 2 (Model.STK.Mono_BLOS_03.POLHEO1.Propagator.PerigeeAltitude)";"response (Model.STK.Mono_BLOS_03.POL_Cov_Def.CovTime_Perc_FoM.Overall_Value.Minimum)"
"<RUN SUCCEEDED>";"19700";"700";"51,0206104385423"
"<RUN SUCCEEDED>";"19700";"710";"51,1071565522726"
"<RUN SUCCEEDED>";"19700";"720";"51,1646516979739"
"<RUN SUCCEEDED>";"19700";"730";"51,2493547200578"
"<RUN SUCCEEDED>";"19700";"740";"51,3583938488104"
"<RUN SUCCEEDED>";"19700";"750";"51,4489872840557"
"<RUN SUCCEEDED>";"19800";"650";"51,8049033553283"
"<RUN SUCCEEDED>";"19800";"660";"51,8256830352613"
"<RUN SUCCEEDED>";"19800";"670";"51,821315015483"
"<RUN SUCCEEDED>";"19800";"680";"51,7484981492029"
"<RUN SUCCEEDED>";"19800";"690";"51,6223002641399"
"<RUN SUCCEEDED>";"19800";"700";"51,4502977844316"
"<RUN SUCCEEDED>";"19800";"710";"51,2714897578997"
"<RUN SUCCEEDED>";"19800";"720";"51,0765087215433"
"<RUN SUCCEEDED>";"19800";"730";"50,8818474042611"
"<RUN SUCCEEDED>";"19800";"740";"50,7230427072211"
"<RUN SUCCEEDED>";"19800";"750";"50,5851391501273"
"<RUN SUCCEEDED>";"19900";"650";"50,9188576502849"
"<RUN SUCCEEDED>";"19900";"660";"50,855800941403"
"<RUN SUCCEEDED>";"19900";"670";"50,9833632398041"
"<RUN SUCCEEDED>";"19900";"680";"51,1704521955654"
"<RUN SUCCEEDED>";"19900";"690";"51,3715480332312"
"<RUN SUCCEEDED>";"19900";"700";"51,6230389057785"
"<RUN SUCCEEDED>";"19900";"710";"51,9425484233867"
"<RUN SUCCEEDED>";"19900";"720";"52,3781366736541"
"<RUN SUCCEEDED>";"19900";"730";"52,9323934329123"
"<RUN SUCCEEDED>";"19900";"740";"53,3044321346373"
"<RUN SUCCEEDED>";"19900";"750";"53,5812788085978"
"<RUN SUCCEEDED>";"20000";"650";"53,938104559443"
"<RUN SUCCEEDED>";"20000";"660";"54,1377009289486"
"<RUN SUCCEEDED>";"20000";"670";"54,2469668674437"
"<RUN SUCCEEDED>";"20000";"680";"54,2655560507519"
"<RUN SUCCEEDED>";"20000";"690";"54,2055126251464"
"<RUN SUCCEEDED>";"20000";"700";"54,0719974351899"
"<RUN SUCCEEDED>";"20000";"710";"53,8762757079821"
"<RUN SUCCEEDED>";"20000";"720";"53,6158367095244"
"<RUN SUCCEEDED>";"20000";"730";"53,283807633913"
"<RUN SUCCEEDED>";"20000";"740";"52,856664154533"
"<RUN SUCCEEDED>";"20000";"750";"52,2659423043172"
"<RUN SUCCEEDED>";"20100";"650";"52,6047408404102"
"<RUN SUCCEEDED>";"20100";"660";"52,1543733546941"
"<RUN SUCCEEDED>";"20100";"670";"51,8244610614756"
"<RUN SUCCEEDED>";"20100";"680";"51,5551427921281"
"<RUN SUCCEEDED>";"20100";"690";"51,3541679295845"
"<RUN SUCCEEDED>";"20100";"700";"51,1635385555708"
"<RUN SUCCEEDED>";"20100";"710";"51,0525366765541"
"<RUN SUCCEEDED>";"20100";"720";"51,1141482231722"
"<RUN SUCCEEDED>";"20100";"730";"51,2133791512668"
"<RUN SUCCEEDED>";"20100";"740";"51,3681730470815"
"<RUN SUCCEEDED>";"20100";"750";"51,5083925482832"
"<RUN SUCCEEDED>";"20200";"650";"51,876031356539"
"<RUN SUCCEEDED>";"20200";"660";"51,968220292362"
"<RUN SUCCEEDED>";"20200";"670";"52,0794449048707"
"<RUN SUCCEEDED>";"20200";"680";"52,15284335756"
"<RUN SUCCEEDED>";"20200";"690";"52,2158115056316"
"<RUN SUCCEEDED>";"20200";"700";"52,2396072735255"
"<RUN SUCCEEDED>";"20200";"710";"52,2509410461129"
"<RUN SUCCEEDED>";"20200";"720";"52,2013769644499"
"<RUN SUCCEEDED>";"20200";"730";"52,1291082909095"
"<RUN SUCCEEDED>";"20200";"740";"51,9833703803831"
"<RUN SUCCEEDED>";"20200";"750";"51,8743169651654"
"<RUN SUCCEEDED>";"20300";"650";"52,2222165065407"
"<RUN SUCCEEDED>";"20300";"660";"52,1166545447725"
"<RUN SUCCEEDED>";"20300";"670";"52,0436951163818"
"<RUN SUCCEEDED>";"20300";"680";"51,9417599829008"
"<RUN SUCCEEDED>";"20300";"690";"51,8677199926716"
"<RUN SUCCEEDED>";"20300";"700";"51,8175684997337"
"<RUN SUCCEEDED>";"20300";"710";"51,8715643404403"
"<RUN SUCCEEDED>";"20300";"720";"51,9047434860211"
"<RUN SUCCEEDED>";"20300";"730";"51,9806336248961"
"<RUN SUCCEEDED>";"20300";"740";"52,0414625505929"
"<RUN SUCCEEDED>";"20300";"750";"52,0544180257339"
"<RUN SUCCEEDED>";"20400";"650";"52,4225622777646"
"<RUN SUCCEEDED>";"20400";"660";"52,4690630001066"
"<RUN SUCCEEDED>";"20400";"670";"52,4377119868427"
"<RUN SUCCEEDED>";"20400";"680";"52,4673458686181"
"<RUN SUCCEEDED>";"20400";"690";"52,4009012077524"
"<RUN SUCCEEDED>";"20400";"700";"52,4587534027909"
"<RUN SUCCEEDED>";"20400";"710";"52,4050445895679"
"<RUN SUCCEEDED>";"20400";"720";"52,3319680214834"
"<RUN SUCCEEDED>";"20400";"730";"52,245749657756"
"<RUN SUCCEEDED>";"20400";"740";"52,1954993733921"
